generation_id,created_at,cost_total,cost_web_search,cost_cache,cost_file_processing,byok_usage_inference,tokens_prompt,tokens_completion,tokens_reasoning,model_permaslug,provider_name,variant,cancelled,streamed,user,finish_reason_raw,finish_reason_normalized,generation_time_ms,time_to_first_token_ms,app_name,api_key_name
gen-1760615728-oXfzIzp2iDxjykCMdkuT,2025-10-16 11:55:27.726,0.076875,,,,0,13028,6059,1925,google/gemini-2.5-pro,Google,standard,false,true,,STOP,stop,70238,3400,,deerflow
gen-1760615659-nThtFw8PgJ9JbDKO45RB,2025-10-16 11:54:19.441,0.007314,,,,0,74086,9025,5952,openai/gpt-5-nano-2025-08-07,OpenAI,standard,false,true,,completed,stop,67057,12050,,deerflow
gen-1760615614-CC7UWgkHSf1RCg6Pcs6O,2025-10-16 11:53:34.361,0.000501,,,,0,558,1183,768,openai/gpt-5-nano-2025-08-07,OpenAI,standard,false,true,,completed,tool_calls,17684,9146,,deerflow
gen-1760615558-cQhtGuT6YNOJnwGh2WPX,2025-10-16 11:52:38.079,0.00476,,,,0,36441,7347,3200,openai/gpt-5-nano-2025-08-07,OpenAI,standard,false,true,,completed,stop,55123,6277,,deerflow
gen-1760615535-zv4TlBnGWLcaOhxTeaPL,2025-10-16 11:52:15.964,0.000445,,,,0,1067,980,768,openai/gpt-5-nano-2025-08-07,OpenAI,standard,false,true,,completed,tool_calls,9591,8218,,deerflow
gen-1760615523-9r5ZzWzNQOlu3EmAqedn,2025-10-16 11:52:03.005,0.000618,,,,0,5337,879,832,openai/gpt-5-nano-2025-08-07,OpenAI,standard,false,true,,completed,tool_calls,8250,8133,,deerflow
gen-1760615441-RGsSU7vFqaKzZyf9P2Uz,2025-10-16 11:50:41.079,0.008525,,,,0,85959,10570,7104,openai/gpt-5-nano-2025-08-07,OpenAI,standard,false,true,,completed,stop,80758,15796,,deerflow
gen-1760615401-fNx2stBucsiouvLKw3fl,2025-10-16 11:50:01.103,0.000496,,,,0,102,1228,768,openai/gpt-5-nano-2025-08-07,OpenAI,standard,false,true,,completed,tool_calls,15611,4699,,deerflow
gen-1760615375-nThhUIBodco8YLlUt0n2,2025-10-16 11:49:34.503,0.020557,,,,0,2078,1796,1263,google/gemini-2.5-pro,Google,standard,false,true,,STOP,stop,21422,2682,,deerflow
gen-1760615360-Z6wz5xWTpVfZCIjqmPTK,2025-10-16 11:49:20.098,0.000264,,,,0,672,577,512,openai/gpt-5-nano-2025-08-07,OpenAI,standard,false,true,,completed,tool_calls,12019,11003,,deerflow
gen-1760614009-9OrtBtU0wcuskUjmGFGh,2025-10-16 11:26:49.211,0.000901,,,,0,39,2248,1152,openai/gpt-5-nano-2025-08-07,OpenAI,standard,false,true,,completed,tool_calls,43248,4856,,deerflow
gen-1760613966-6y5jL0dLthFbZuGf1TMs,2025-10-16 11:26:06.125,0.027072,,,,0,2082,2447,1797,google/gemini-2.5-pro,Google,standard,false,true,,STOP,stop,28512,2256,,deerflow
gen-1760613956-3TyMfRBsjXN7ueF6Ez1l,2025-10-16 11:25:55.886,0.000461,,,,0,679,1069,1024,openai/gpt-5-nano-2025-08-07,OpenAI,standard,false,true,,completed,tool_calls,8350,8135,,deerflow
gen-1760613440-5jAxxuNwCmUcKU2rPwY6,2025-10-16 11:17:19.700,0.000476,,,,0,240,1162,960,openai/gpt-5-nano-2025-08-07,OpenAI,standard,false,true,,completed,tool_calls,17897,4702,,deerflow
gen-1760613395-qbO80IRSVw97Vk5ijwmG,2025-10-16 11:16:34.999,0.000585,,,,0,480,1404,1280,openai/gpt-5-nano-2025-08-07,OpenAI,standard,false,true,,completed,tool_calls,19783,5011,,deerflow
gen-1760613362-wvdRu24wR8g6oCqyWZD4,2025-10-16 11:16:02.507,0.00054,,,,0,384,1304,1152,openai/gpt-5-nano-2025-08-07,OpenAI,standard,false,true,,completed,tool_calls,15513,5706,,deerflow
gen-1760613323-r7khyyhEziDnevDut4nr,2025-10-16 11:15:23.643,0.000445,,,,0,320,1074,896,openai/gpt-5-nano-2025-08-07,OpenAI,standard,false,true,,completed,tool_calls,13118,6954,,deerflow
gen-1760613310-P53vGvuISJvjPQ8Jzszv,2025-10-16 11:15:10.235,0.000431,,,,0,207,1053,832,openai/gpt-5-nano-2025-08-07,OpenAI,standard,false,true,,completed,tool_calls,12621,4919,,deerflow
gen-1760613265-dQtZELsGJdYRwfENncKN,2025-10-16 11:14:25.676,0.000412,,,,0,207,1006,768,openai/gpt-5-nano-2025-08-07,OpenAI,standard,false,true,,completed,tool_calls,14500,5756,,deerflow
gen-1760613214-4uLlhoxn931h7wkKTyKv,2025-10-16 11:13:33.734,0.000458,,,,0,207,1120,832,openai/gpt-5-nano-2025-08-07,OpenAI,standard,false,true,,completed,tool_calls,14978,4182,,deerflow
gen-1760613172-gZ569sv4fKvTodfAGREu,2025-10-16 11:12:51.963,0.000313,,,,0,207,758,448,openai/gpt-5-nano-2025-08-07,OpenAI,standard,false,true,,completed,tool_calls,14845,6761,,deerflow
gen-1760613132-Lyp7Jj2WLw0sTGpF2OkJ,2025-10-16 11:12:12.236,0.000378,,,,0,186,922,704,openai/gpt-5-nano-2025-08-07,OpenAI,standard,false,true,,completed,tool_calls,11038,5450,,deerflow
gen-1760613088-ChO42Ra34nqBdwirEoXd,2025-10-16 11:11:27.801,0.000381,,,,0,207,929,704,openai/gpt-5-nano-2025-08-07,OpenAI,standard,false,true,,completed,tool_calls,14729,4931,,deerflow
